MVS0724.02 | 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
20,41,820,204,263,0,0,0
21,43,847,204,254,0,0,0
22,50,831,204,264,0,0,0
23,40,865,204,262,0,0,0
24,49,847,204,260,0,0,0
25,29,859,204,267,0,0,0
26,67,845,204,255,0,1,1
27,57,855,204,254,0,0,0
28,123,855,204,246,0,1,1
29,76,854,204,256,0,1,1
30,71,786,204,257,0,0,0
31,86,762,204,250,0,1,1
32,50,823,204,252,0,0,0
33,50,822,204,247,0,0,0
34,72,820,204,244,0,0,0
35,64,857,204,251,0,0,0
36,44,857,204,259,0,0,0
37,64,868,204,251,0,1,1
38,47,850,204,259,0,0,0
39,66,826,204,253,0,1,1
40,71,864,204,244,0,0,0
41,53,856,204,255,0,1,1
42,74,844,204,257,0,1,1
43,103,803,204,273,0,1,1
44,78,839,204,262,0,1,1
45,66,854,204,255,0,0,0
46,115,809,204,249,0,1,1
47,56,849,204,261,0,0,0
48,64,831,204,249,0,0,0
49,153,797,204,266,0,1,1
50,71,838,204,257,0,0,0
51,101,830,204,247,0,1,1
52,101,837,204,253,0,1,1
53,92,821,204,270,0,1,1
54,85,823,204,256,0,0,0
55,58,829,204,256,0,0,0
56,75,855,204,257,0,0,0
57,104,791,204,262,0,1,1
58,128,828,204,222,1,1,1
59,100,489,204,257,0,1,1
60,74,821,204,232,0,1,1
61,65,795,204,251,1,0,1
62,99,831,204,243,0,1,1
63,77,731,204,250,0,1,1
64,61,831,204,249,0,0,0
65,84,843,204,258,0,0,0
66,51,821,204,255,0,0,0
67,76,813,204,248,0,0,0
68,87,840,204,256,0,1,1
69,59,827,204,257,0,0,0
70,186,783,204,259,0,1,1
71,86,843,204,255,0,1,1
72,58,854,204,252,0,1,1
73,96,837,204,258,0,1,1
74,62,894,204,257,0,1,1
75,103,880,204,252,0,1,1
76,110,734,204,253,0,1,1
77,77,852,204,252,0,0,0
78,75,840,204,246,0,1,1
79,75,858,204,255,0,0,0
80,95,807,204,249,0,0,0
81,87,774,204,258,0,1,1
82,64,822,204,260,0,0,0
83,64,731,204,259,0,1,1
84,67,791,204,239,0,0,0
85,125,822,204,245,0,1,1
86,102,787,204,259,0,1,1
87,81,655,204,261,0,1,1
88,98,674,204,235,0,1,1
89,69,840,204,259,0,0,0
